16/12/21 18:10:32: - Alex Sever: Task - None, Foc.Time - 25 min, Time Out - 5, Cycles - 4 
16/12/21 18:10:36: - Alex Severin: Task - None, Foc.Time - 25 min, Time Out - 5, Cycles - 4 
16/12/21 18:10:55: - Alex Sever: Task - Zadacha, Foc.Time - 25 min, Time Out - 5, Cycles - 4 
16/12/21 18:22:10: - Alex Severin: Task - DZ14, Foc.Time - 25 min, Time Out - 5, Cycles - 4 
16/12/21 18:23:27: - Alex Severin: Task - DZ14, Foc.Time - 25 min, Time Out - 5, Cycles - 4 
16/12/21 18:31:05: - Alex Severin: Task - DZ14, Foc.Time - 25 min, Time Out - 5, Cycles - 4 
16/12/21 18:35:13: - Alex Sever: Task - None, Foc.Time - 10 min, Time Out - 5, Cycles - 4 
16/12/21 19:09:35: - Alex Sever: Task - None, Foc.Time - 10 min, Time Out - 5, Cycles - 4 
16/12/21 19:09:59: - Alex Sever: Task - None, Foc.Time - 10 min, Time Out - 5, Cycles - 4 
16/12/21 19:10:22: - Alex Sever: Task - None, Foc.Time - 10 min, Time Out - 5, Cycles - 4 
16/12/21 19:12:26: - Alex Sever: Task - None, Foc.Time - 10 min, Time Out - 5, Cycles - 4 
16/12/21 19:13:08: - Alex Sever: Task - None, Foc.Time - 10 min, Time Out - 5, Cycles - 4 
16/12/21 19:14:02: - Alex Sever: Task - None, Foc.Time - 10 min, Time Out - 5, Cycles - 4 
16/12/21 19:15:31: - Alex Sever: Task - None, Foc.Time - 10 min, Time Out - 5, Cycles - 4 
16/12/21 19:17:41: - Alex Sever: Task - None, Foc.Time - 10 min, Time Out - 5, Cycles - 4 
16/12/21 19:21:50: - Alex Sever: Task - None, Foc.Time - 10 min, Time Out - 3, Cycles - 4 
16/12/21 19:22:55: - Alex Sever: Task - None, Foc.Time - 10 min, Time Out - 3, Cycles - 4 
16/12/21 19:25:47: - Alex Sever: Task - None, Foc.Time - 10 min, Time Out - 3, Cycles - 4 
16/12/21 19:29:42: - Alex Sever: Task - None, Foc.Time - 10 min, Time Out - 3, Cycles - 4 
16/12/21 19:32:17: - Alex Sever: Task - None, Foc.Time - 10 min, Time Out - 3, Cycles - 4 
16/12/21 19:34:56: - Alex Sever: Task - None, Foc.Time - 10 min, Time Out - 3, Cycles - 4 
16/12/21 19:36:45: - Alex Sever: Task - None, Foc.Time - 10 min, Time Out - 1, Cycles - 5 
16/12/21 19:39:54: - Alex Sever: Task - None, Foc.Time - 3 min, Time Out - 1, Cycles - 4 
16/12/21 19:43:49: - Alex Sever: Task - None, Foc.Time - 3 min, Time Out - 1, Cycles - 4 
16/12/21 19:44:21: - Alex Sever: Task - None, Foc.Time - 3 min, Time Out - 1, Cycles - 4 
16/12/21 19:46:15: - Alex Sever: Task - None, Foc.Time - 3 min, Time Out - 1, Cycles - 4 
16/12/21 19:47:23: - Alex Sever: Task - None, Foc.Time - 3 min, Time Out - 1, Cycles - 4 
16/12/21 19:48:59: - Alex Sever: Task - None, Foc.Time - 3 min, Time Out - 1, Cycles - 4 
16/12/21 19:49:32: - Alex Sever: Task - None, Foc.Time - 3 min, Time Out - 1, Cycles - 4 
16/12/21 19:50:14: - Alex Sever: Task - None, Foc.Time - 3 min, Time Out - 1, Cycles - 4 
